feature,coefficient,p_value,r_squared,adj_r_squared,bucket
sleep_end_s14:C(sex)[Female]:C(age_binary)[young],1.2404,0.0,0.068,0.061,sleep
sleep_end_s14:C(sex)[Female]:C(age_binary)[old],1.1913,0.001,0.068,0.061,sleep
sleep_duration_s14:C(sex)[Female]:C(age_binary)[old],0.9129,0.003,0.065,0.058,sleep
sleep_duration_s14:C(sex)[Female]:C(age_binary)[young],1.1529,0.0,0.065,0.058,sleep
sleep_end_s7:C(sex)[Female]:C(age_binary)[old],1.1564,0.0,0.056,0.051,sleep
sleep_end_s7:C(sex)[Female]:C(age_binary)[young],1.1271,0.0,0.056,0.051,sleep
sleep_start_m14:C(sex)[Female]:C(age_binary)[old],0.7311,0.01,0.051,0.044,sleep
sleep_start_m14:C(sex)[Female]:C(age_binary)[young],0.7839,0.003,0.051,0.044,sleep
sleep_duration_s7:C(sex)[Female]:C(age_binary)[old],0.9459,0.0,0.048,0.043,sleep
sleep_duration_s7:C(sex)[Female]:C(age_binary)[young],0.9794,0.0,0.048,0.043,sleep
sleep_start_s14:C(sex)[Female]:C(age_binary)[young],0.8178,0.003,0.046,0.039,sleep
sleep_start_s14:C(sex)[Female]:C(age_binary)[old],0.6598,0.032,0.046,0.039,sleep
sleep_start_m7:C(sex)[Female]:C(age_binary)[old],0.665,0.003,0.042,0.037,sleep
sleep_start_m7:C(sex)[Female]:C(age_binary)[young],0.6639,0.002,0.042,0.037,sleep
sleep_start_s7:C(sex)[Female]:C(age_binary)[old],0.8842,0.001,0.041,0.036,sleep
sleep_start_s7:C(sex)[Female]:C(age_binary)[young],0.8441,0.0,0.041,0.036,sleep
chronotype_score_m7:C(sex)[Female]:C(age_binary)[old],0.8038,0.0,0.04,0.038,sleep
chronotype_score_m7:C(sex)[Female]:C(age_binary)[young],0.9553,0.0,0.04,0.038,sleep
chronotype_score_m14:C(sex)[Female]:C(age_binary)[young],0.974,0.0,0.04,0.038,sleep
