feature,coefficient,p_value,abs_coefficient
Intercept,13.2091,0.0,13.2091
Intercept,13.1238,0.0,13.1238
Intercept,13.087,0.0,13.087
Intercept,13.0799,0.0,13.0799
Intercept,13.0066,0.0,13.0066
Intercept,12.9931,0.0,12.9931
Intercept,12.9821,0.0,12.9821
Intercept,12.9316,0.0,12.9316
Intercept,12.9294,0.0,12.9294
Intercept,12.9289,0.0,12.9289
Intercept,12.8798,0.0,12.8798
Intercept,12.8531,0.0,12.8531
Intercept,12.8463,0.0,12.8463
Intercept,12.8431,0.0,12.8431
Intercept,12.8365,0.0,12.8365
Intercept,12.8237,0.0,12.8237
Intercept,12.7618,0.0,12.7618
Intercept,12.7446,0.0,12.7446
Intercept,12.7357,0.0,12.7357
Intercept,12.7323,0.0,12.7323
Intercept,12.6738,0.0,12.6738
Intercept,12.6719,0.0,12.6719
Intercept,12.6657,0.0,12.6657
Intercept,12.6657,0.0,12.6657
Intercept,12.6569,0.0,12.6569
Intercept,12.6519,0.0,12.6519
Intercept,12.6382,0.0,12.6382
Intercept,12.6382,0.0,12.6382
Intercept,12.6324,0.0,12.6324
Intercept,12.6171,0.0,12.6171
Intercept,12.6171,0.0,12.6171
Intercept,12.5434,0.0,12.5434
Intercept,12.531,0.0,12.531
Intercept,12.5259,0.0,12.5259
Intercept,12.5259,0.0,12.5259
Intercept,12.488,0.0,12.488
Intercept,12.4312,0.0,12.4312
Intercept,12.1336,0.0,12.1336
Intercept,12.0511,0.0,12.0511
Intercept,12.037,0.0,12.037
ec_PedometerData_m14:C(sex)[Male]:C(age_binary)[old],-1.763,0.0,1.763
steps_least_active_5h_m14:C(sex)[Male]:C(age_binary)[old],-1.698,0.0,1.698
steps_least_active_5h_m7:C(sex)[Male]:C(age_binary)[old],-1.6925,0.0,1.6925
ec_PedometerData_m7:C(sex)[Male]:C(age_binary)[old],-1.4429,0.001,1.4429
ec_PedometerData_s14:C(sex)[Male]:C(age_binary)[old],-1.307,0.004,1.307
step_count_m14:C(sex)[Male]:C(age_binary)[old],-1.2947,0.0,1.2947
active_time_m14:C(sex)[Male]:C(age_binary)[old],-1.2928,0.0,1.2928
activity_percent_m14:C(sex)[Male]:C(age_binary)[old],-1.2928,0.0,1.2928
total_activity_duration_s7:C(sex)[Male]:C(age_binary)[old],-1.2198,0.004,1.2198
activity_percent_m7:C(sex)[Male]:C(age_binary)[old],-1.1175,0.001,1.1175
active_time_m7:C(sex)[Male]:C(age_binary)[old],-1.1175,0.001,1.1175
walking_rate_s7:C(sex)[Male]:C(age_binary)[young],-1.0692,0.0,1.0692
step_count_m7:C(sex)[Male]:C(age_binary)[old],-1.051,0.001,1.051
walking_rate_s14:C(sex)[Male]:C(age_binary)[young],-1.0475,0.0,1.0475
step_count_s14:C(sex)[Male]:C(age_binary)[old],-1.0132,0.004,1.0132
ec_Activity_m7:C(sex)[Male]:C(age_binary)[old],-0.9985,0.023,0.9985
ec_PedometerData_s7:C(sex)[Male]:C(age_binary)[old],-0.9974,0.032,0.9974
ec_Activity_m14:C(sex)[Male]:C(age_binary)[old],-0.9911,0.022,0.9911
total_activity_duration_s14:C(sex)[Male]:C(age_binary)[old],-0.9708,0.017,0.9708
ec_Activity_s7:C(sex)[Male]:C(age_binary)[old],-0.9412,0.018,0.9412
steps_least_active_5h_s14:C(sex)[Male]:C(age_binary)[old],-0.9376,0.017,0.9376
activity_percent_s14:C(sex)[Male]:C(age_binary)[old],-0.9242,0.004,0.9242
active_time_s14:C(sex)[Male]:C(age_binary)[old],-0.9242,0.004,0.9242
ec_Activity_s14:C(sex)[Male]:C(age_binary)[old],-0.9143,0.02,0.9143
walking_rate_s14:C(sex)[Male]:C(age_binary)[old],-0.9088,0.001,0.9088
walking_rate_s7:C(sex)[Male]:C(age_binary)[old],-0.8633,0.004,0.8633
step_count_s7:C(sex)[Male]:C(age_binary)[old],-0.8562,0.02,0.8562
steps_most_active_10h_m14:C(sex)[Male]:C(age_binary)[old],-0.8533,0.01,0.8533
total_activity_duration_s14:C(sex)[Male]:C(age_binary)[young],-0.8146,0.009,0.8146
walking_rate_m14:C(sex)[Male]:C(age_binary)[old],-0.8038,0.001,0.8038
activity_percent_s7:C(sex)[Male]:C(age_binary)[old],-0.8015,0.018,0.8015
active_time_s7:C(sex)[Male]:C(age_binary)[old],-0.8015,0.018,0.8015
ec_PedometerData_s14:C(sex)[Male]:C(age_binary)[young],-0.7818,0.0,0.7818
steps_most_active_10h_m7:C(sex)[Male]:C(age_binary)[old],-0.7694,0.01,0.7694
total_activity_duration_s7:C(sex)[Male]:C(age_binary)[young],-0.7602,0.015,0.7602
ec_PedometerData_s7:C(sex)[Male]:C(age_binary)[young],-0.7287,0.001,0.7287
walking_rate_m7:C(sex)[Male]:C(age_binary)[old],-0.6996,0.002,0.6996
step_count_s14:C(sex)[Male]:C(age_binary)[young],-0.6949,0.002,0.6949
active_time_s14:C(sex)[Male]:C(age_binary)[young],-0.6893,0.001,0.6893
activity_percent_s14:C(sex)[Male]:C(age_binary)[young],-0.6893,0.001,0.6893
steps_most_active_10h_s7:C(sex)[Male]:C(age_binary)[young],-0.6846,0.003,0.6846
steps_least_active_5h_s7:C(sex)[Male]:C(age_binary)[young],-0.6467,0.02,0.6467
step_count_s7:C(sex)[Male]:C(age_binary)[young],-0.6066,0.005,0.6066
activity_percent_s7:C(sex)[Male]:C(age_binary)[young],-0.6038,0.004,0.6038
active_time_s7:C(sex)[Male]:C(age_binary)[young],-0.6038,0.004,0.6038
ec_PedometerData_m7:C(sex)[Male]:C(age_binary)[young],-0.5884,0.003,0.5884
ec_PedometerData_m14:C(sex)[Male]:C(age_binary)[young],-0.5878,0.002,0.5878
step_count_m14:C(sex)[Female]:C(age_binary)[young],0.5407,0.002,0.5407
steps_relative_amplitude_s14:C(sex)[Male]:C(age_binary)[young],-0.517,0.026,0.517
step_count_m7:C(sex)[Female]:C(age_binary)[young],0.5067,0.003,0.5067
total_activity_duration_s7:C(sex)[Female]:C(age_binary)[old],-0.4882,0.013,0.4882
steps_most_active_10h_m14:C(sex)[Male]:C(age_binary)[young],-0.4814,0.02,0.4814
active_time_m14:C(sex)[Female]:C(age_binary)[young],0.4803,0.004,0.4803
activity_percent_m14:C(sex)[Female]:C(age_binary)[young],0.4803,0.004,0.4803
activity_percent_s7:C(sex)[Female]:C(age_binary)[young],0.4794,0.003,0.4794
active_time_s7:C(sex)[Female]:C(age_binary)[young],0.4794,0.003,0.4794
steps_most_active_10h_m7:C(sex)[Male]:C(age_binary)[young],-0.4686,0.019,0.4686
total_activity_duration_s14:C(sex)[Female]:C(age_binary)[old],-0.4612,0.014,0.4612
steps_relative_amplitude_s14:C(sex)[Female]:C(age_binary)[young],0.4552,0.004,0.4552
steps_most_active_10h_m14:C(sex)[Female]:C(age_binary)[young],0.445,0.005,0.445
steps_most_active_10h_s14:C(sex)[Female]:C(age_binary)[young],0.4416,0.007,0.4416
step_count_s7:C(sex)[Female]:C(age_binary)[young],0.4341,0.01,0.4341
steps_least_active_5h_m14:C(sex)[Male]:C(age_binary)[young],-0.4272,0.033,0.4272
activity_percent_m7:C(sex)[Female]:C(age_binary)[young],0.4266,0.008,0.4266
active_time_m7:C(sex)[Female]:C(age_binary)[young],0.4266,0.008,0.4266
steps_least_active_5h_m7:C(sex)[Male]:C(age_binary)[young],-0.4233,0.029,0.4233
steps_most_active_10h_m7:C(sex)[Female]:C(age_binary)[young],0.4201,0.006,0.4201
walking_rate_m14:C(sex)[Male]:C(age_binary)[young],-0.4167,0.016,0.4167
walking_rate_m7:C(sex)[Male]:C(age_binary)[young],-0.4152,0.013,0.4152
ec_PedometerData_s14:C(sex)[Female]:C(age_binary)[old],-0.4096,0.045,0.4096
activity_percent_s14:C(sex)[Female]:C(age_binary)[young],0.3919,0.017,0.3919
active_time_s14:C(sex)[Female]:C(age_binary)[young],0.3919,0.017,0.3919
step_count_s14:C(sex)[Female]:C(age_binary)[young],0.376,0.029,0.376
steps_relative_amplitude_s7:C(sex)[Female]:C(age_binary)[young],0.3628,0.018,0.3628
total_activity_duration_m7:C(sex)[Female]:C(age_binary)[young],0.3599,0.004,0.3599
steps_relative_amplitude_m14:C(sex)[Female]:C(age_binary)[young],0.3538,0.012,0.3538
steps_least_active_5h_m14:C(sex)[Female]:C(age_binary)[young],0.3489,0.027,0.3489
total_activity_duration_m14:C(sex)[Female]:C(age_binary)[young],0.3389,0.007,0.3389
steps_least_active_5h_m7:C(sex)[Female]:C(age_binary)[young],0.3237,0.033,0.3237
steps_most_active_10h_s7:C(sex)[Female]:C(age_binary)[young],0.3088,0.044,0.3088
steps_relative_amplitude_m7:C(sex)[Female]:C(age_binary)[young],0.3054,0.024,0.3054
