feature,coefficient,p_value,abs_coefficient
Intercept,13.4351,0.0,13.4351
Intercept,13.3849,0.0,13.3849
Intercept,13.3546,0.0,13.3546
Intercept,13.3151,0.0,13.3151
Intercept,13.2223,0.0,13.2223
Intercept,13.1217,0.0,13.1217
Intercept,13.1163,0.0,13.1163
Intercept,13.1054,0.0,13.1054
Intercept,13.0935,0.0,13.0935
Intercept,13.0859,0.0,13.0859
Intercept,13.0405,0.0,13.0405
Intercept,13.0295,0.0,13.0295
Intercept,12.9527,0.0,12.9527
Intercept,12.9285,0.0,12.9285
Intercept,12.8932,0.0,12.8932
Intercept,12.8639,0.0,12.8639
Intercept,12.8457,0.0,12.8457
Intercept,12.8309,0.0,12.8309
Intercept,12.1628,0.0,12.1628
Intercept,12.1416,0.0,12.1416
screen_unlocks_s7:C(sex)[Male]:C(age_binary)[young],-2.271,0.0,2.271
screen_unlocks_s14:C(sex)[Male]:C(age_binary)[young],-2.2674,0.0,2.2674
screen_unlocks_m7:C(sex)[Male]:C(age_binary)[young],-1.9034,0.0,1.9034
screen_unlocks_m14:C(sex)[Male]:C(age_binary)[young],-1.8067,0.0,1.8067
display_events_s14:C(sex)[Male]:C(age_binary)[old],-1.6583,0.0,1.6583
ec_DeviceDisplayStatus_s14:C(sex)[Male]:C(age_binary)[old],-1.5666,0.0,1.5666
display_events_m14:C(sex)[Male]:C(age_binary)[old],-1.5541,0.0,1.5541
display_events_s7:C(sex)[Male]:C(age_binary)[old],-1.5479,0.0,1.5479
ec_DeviceDisplayStatus_s7:C(sex)[Male]:C(age_binary)[old],-1.5277,0.0,1.5277
ec_DeviceDisplayStatus_m14:C(sex)[Male]:C(age_binary)[old],-1.3942,0.0,1.3942
display_events_m7:C(sex)[Male]:C(age_binary)[old],-1.3436,0.0,1.3436
ec_DeviceDisplayStatus_m7:C(sex)[Male]:C(age_binary)[old],-1.2556,0.0,1.2556
screen_unlocks_s14:C(sex)[Male]:C(age_binary)[old],-1.2421,0.007,1.2421
device_use_percent_m14:C(sex)[Male]:C(age_binary)[young],-1.1279,0.001,1.1279
device_use_percent_m14:C(sex)[Male]:C(age_binary)[old],-1.0923,0.029,1.0923
device_use_percent_m7:C(sex)[Male]:C(age_binary)[young],-1.0387,0.003,1.0387
display_events_s14:C(sex)[Male]:C(age_binary)[young],-1.0279,0.001,1.0279
display_events_s7:C(sex)[Male]:C(age_binary)[young],-0.9985,0.003,0.9985
ec_DeviceDisplayStatus_s7:C(sex)[Male]:C(age_binary)[young],-0.9975,0.0,0.9975
device_use_percent_s7:C(sex)[Male]:C(age_binary)[young],-0.9533,0.003,0.9533
device_use_percent_s14:C(sex)[Male]:C(age_binary)[old],-0.9445,0.02,0.9445
device_use_percent_s14:C(sex)[Male]:C(age_binary)[young],-0.9183,0.002,0.9183
screen_unlocks_s7:C(sex)[Male]:C(age_binary)[old],-0.8864,0.041,0.8864
ec_DeviceDisplayStatus_s14:C(sex)[Male]:C(age_binary)[young],-0.8731,0.0,0.8731
ec_DeviceDisplayStatus_m7:C(sex)[Male]:C(age_binary)[young],-0.8685,0.0,0.8685
ec_DeviceDisplayStatus_m14:C(sex)[Male]:C(age_binary)[young],-0.8128,0.0,0.8128
display_events_m14:C(sex)[Male]:C(age_binary)[young],-0.7941,0.002,0.7941
display_events_m7:C(sex)[Male]:C(age_binary)[young],-0.783,0.003,0.783
total_display_duration_m7:C(sex)[Female]:C(age_binary)[young],0.7022,0.0,0.7022
total_display_duration_m14:C(sex)[Female]:C(age_binary)[young],0.6715,0.0,0.6715
total_display_duration_s7:C(sex)[Female]:C(age_binary)[old],-0.5254,0.007,0.5254
total_display_duration_m14:C(sex)[Male]:C(age_binary)[old],-0.5123,0.011,0.5123
total_display_duration_m7:C(sex)[Male]:C(age_binary)[old],-0.504,0.015,0.504
ec_DeviceDisplayStatus_m14:C(sex)[Female]:C(age_binary)[old],0.4462,0.048,0.4462
total_display_duration_s14:C(sex)[Female]:C(age_binary)[old],-0.4141,0.027,0.4141
screen_unlocks_m14:C(sex)[Female]:C(age_binary)[young],-0.3754,0.02,0.3754
screen_unlocks_m7:C(sex)[Female]:C(age_binary)[young],-0.3727,0.016,0.3727
ec_DeviceDisplayStatus_s14:C(sex)[Female]:C(age_binary)[old],0.3682,0.04,0.3682
total_display_duration_m7:C(sex)[Female]:C(age_binary)[old],0.3292,0.018,0.3292
screen_unlocks_s7:C(sex)[Female]:C(age_binary)[young],-0.3211,0.048,0.3211
total_display_duration_m14:C(sex)[Female]:C(age_binary)[old],0.29,0.036,0.29
