feature,coefficient,p_value,abs_coefficient,bucket
travel_diameter_m7:C(sex)[Male]:C(age_binary)[old],-35.744,0.007,35.744,sociability
Intercept,22.2506,0.0,22.2506,sleep
Intercept,22.0277,0.0,22.0277,sleep
Intercept,13.8995,0.0,13.8995,sociability
travel_diameter_s7:C(sex)[Male]:C(age_binary)[old],-13.7756,0.006,13.7756,sociability
Intercept,13.4718,0.0,13.4718,sociability
Intercept,13.4508,0.0,13.4508,sociability
Intercept,13.4351,0.0,13.4351,device_usage
Intercept,13.415,0.0,13.415,sociability
Intercept,13.4091,0.0,13.4091,sociability
Intercept,13.4048,0.0,13.4048,sleep
Intercept,13.3994,0.0,13.3994,sociability
Intercept,13.3885,0.0,13.3885,sociability
Intercept,13.3849,0.0,13.3849,device_usage
Intercept,13.3784,0.0,13.3784,sociability
Intercept,13.3546,0.0,13.3546,device_usage
Intercept,13.3295,0.0,13.3295,sociability
Intercept,13.3151,0.0,13.3151,device_usage
Intercept,13.3117,0.0,13.3117,sociability
Intercept,13.3054,0.0,13.3054,sleep
Intercept,13.3026,0.0,13.3026,sociability
Intercept,13.2998,0.0,13.2998,sociability
Intercept,13.2815,0.0,13.2815,sociability
Intercept,13.2679,0.0,13.2679,sociability
Intercept,13.2677,0.0,13.2677,sociability
Intercept,13.2553,0.0,13.2553,sociability
Intercept,13.2529,0.0,13.2529,sociability
Intercept,13.2318,0.0,13.2318,sociability
Intercept,13.2223,0.0,13.2223,device_usage
Intercept,13.2091,0.0,13.2091,activity
Intercept,13.2036,0.0,13.2036,sociability
Intercept,13.2023,0.0,13.2023,sociability
Intercept,13.1937,0.0,13.1937,sociability
Intercept,13.1732,0.0,13.1732,sociability
Intercept,13.1563,0.0,13.1563,sociability
Intercept,13.1313,0.0,13.1313,sociability
Intercept,13.1304,0.0,13.1304,sociability
Intercept,13.1265,0.0,13.1265,sociability
Intercept,13.1238,0.0,13.1238,activity
Intercept,13.1217,0.0,13.1217,device_usage
Intercept,13.1163,0.0,13.1163,device_usage
Intercept,13.1054,0.0,13.1054,device_usage
Intercept,13.1045,0.0,13.1045,sociability
Intercept,13.0935,0.0,13.0935,device_usage
Intercept,13.087,0.0,13.087,activity
Intercept,13.0859,0.0,13.0859,device_usage
Intercept,13.0799,0.0,13.0799,activity
Intercept,13.0405,0.0,13.0405,device_usage
Intercept,13.0339,0.0,13.0339,sociability
Intercept,13.0319,0.0,13.0319,sociability
Intercept,13.0313,0.0,13.0313,sociability
Intercept,13.0295,0.0,13.0295,device_usage
Intercept,13.0224,0.0,13.0224,sociability
Intercept,13.0066,0.0,13.0066,activity
Intercept,12.9931,0.0,12.9931,activity
Intercept,12.9821,0.0,12.9821,activity
Intercept,12.9527,0.0,12.9527,device_usage
Intercept,12.9316,0.0,12.9316,activity
Intercept,12.9294,0.0,12.9294,activity
Intercept,12.9289,0.0,12.9289,activity
Intercept,12.9285,0.0,12.9285,device_usage
Intercept,12.9131,0.0,12.9131,sociability
Intercept,12.9068,0.0,12.9068,sociability
Intercept,12.8989,0.0,12.8989,sociability
Intercept,12.8932,0.0,12.8932,device_usage
Intercept,12.8798,0.0,12.8798,activity
Intercept,12.8639,0.0,12.8639,device_usage
Intercept,12.8531,0.0,12.8531,activity
Intercept,12.8463,0.0,12.8463,activity
Intercept,12.8457,0.0,12.8457,device_usage
Intercept,12.8431,0.0,12.8431,activity
Intercept,12.8365,0.0,12.8365,activity
Intercept,12.8309,0.0,12.8309,device_usage
Intercept,12.8237,0.0,12.8237,activity
Intercept,12.8026,0.0,12.8026,sociability
Intercept,12.7958,0.0,12.7958,sociability
Intercept,12.7833,0.0,12.7833,sociability
Intercept,12.7618,0.0,12.7618,activity
Intercept,12.7558,0.0,12.7558,sociability
Intercept,12.7491,0.0,12.7491,sleep
Intercept,12.7446,0.0,12.7446,activity
Intercept,12.7357,0.0,12.7357,activity
Intercept,12.7344,0.0,12.7344,sleep
Intercept,12.7323,0.0,12.7323,activity
Intercept,12.6738,0.0,12.6738,activity
Intercept,12.6719,0.0,12.6719,activity
Intercept,12.6709,0.0,12.6709,sleep
Intercept,12.6657,0.0,12.6657,activity
Intercept,12.6657,0.0,12.6657,activity
Intercept,12.6569,0.0,12.6569,activity
Intercept,12.6519,0.0,12.6519,activity
Intercept,12.6382,0.0,12.6382,activity
Intercept,12.6382,0.0,12.6382,activity
Intercept,12.6324,0.0,12.6324,activity
Intercept,12.6315,0.0,12.6315,sleep
Intercept,12.6171,0.0,12.6171,activity
Intercept,12.6171,0.0,12.6171,activity
Intercept,12.6164,0.0,12.6164,sociability
Intercept,12.5434,0.0,12.5434,activity
Intercept,12.531,0.0,12.531,activity
Intercept,12.5259,0.0,12.5259,activity
Intercept,12.5259,0.0,12.5259,activity
Intercept,12.488,0.0,12.488,activity
Intercept,12.448,0.0,12.448,sleep
Intercept,12.4374,0.0,12.4374,sleep
Intercept,12.4312,0.0,12.4312,activity
Intercept,12.3741,0.0,12.3741,sociability
Intercept,12.2683,0.0,12.2683,sleep
Intercept,12.1628,0.0,12.1628,device_usage
Intercept,12.1416,0.0,12.1416,device_usage
Intercept,12.1336,0.0,12.1336,activity
Intercept,12.0511,0.0,12.0511,activity
Intercept,12.037,0.0,12.037,activity
Intercept,11.9987,0.0,11.9987,sociability
Intercept,11.9741,0.0,11.9741,sleep
Intercept,11.9436,0.0,11.9436,sociability
Intercept,11.8642,0.0,11.8642,sociability
Intercept,11.4696,0.0,11.4696,sociability
Intercept,11.1406,0.0,11.1406,sleep
Intercept,11.1381,0.0,11.1381,sleep
Intercept,10.9051,0.0,10.9051,sleep
Intercept,10.6157,0.0,10.6157,sleep
Intercept,10.5212,0.0,10.5212,sleep
Intercept,9.8106,0.0,9.8106,sleep
Intercept,9.6087,0.0,9.6087,sleep
Intercept,9.5677,0.0,9.5677,sleep
travel_diameter_m14:C(sex)[Female]:C(age_binary)[old],-9.5064,0.037,9.5064,sociability
Intercept,9.4504,0.0,9.4504,sleep
Intercept,8.7821,0.003,8.7821,sleep
Intercept,8.3774,0.0,8.3774,sleep
travel_diameter_m7:C(sex)[Female]:C(age_binary)[old],-7.5472,0.021,7.5472,sociability
Intercept,6.7092,0.004,6.7092,sleep
travel_diameter_s14:C(sex)[Female]:C(age_binary)[old],-2.4387,0.038,2.4387,sociability
screen_unlocks_s7:C(sex)[Male]:C(age_binary)[young],-2.271,0.0,2.271,device_usage
screen_unlocks_s14:C(sex)[Male]:C(age_binary)[young],-2.2674,0.0,2.2674,device_usage
sleep_interruptions_m7:C(sex)[Male]:C(age_binary)[old],-2.1807,0.021,2.1807,sleep
travel_diameter_s7:C(sex)[Female]:C(age_binary)[old],-2.1397,0.019,2.1397,sociability
sleep_interruptions_s7:C(sex)[Male]:C(age_binary)[old],-2.107,0.014,2.107,sleep
screen_unlocks_m7:C(sex)[Male]:C(age_binary)[young],-1.9034,0.0,1.9034,device_usage
screen_unlocks_m14:C(sex)[Male]:C(age_binary)[young],-1.8067,0.0,1.8067,device_usage
ec_PedometerData_m14:C(sex)[Male]:C(age_binary)[old],-1.763,0.0,1.763,activity
steps_least_active_5h_m14:C(sex)[Male]:C(age_binary)[old],-1.698,0.0,1.698,activity
steps_least_active_5h_m7:C(sex)[Male]:C(age_binary)[old],-1.6925,0.0,1.6925,activity
display_events_s14:C(sex)[Male]:C(age_binary)[old],-1.6583,0.0,1.6583,device_usage
ec_DeviceDisplayStatus_s14:C(sex)[Male]:C(age_binary)[old],-1.5666,0.0,1.5666,device_usage
display_events_m14:C(sex)[Male]:C(age_binary)[old],-1.5541,0.0,1.5541,device_usage
display_events_s7:C(sex)[Male]:C(age_binary)[old],-1.5479,0.0,1.5479,device_usage
ec_DeviceDisplayStatus_s7:C(sex)[Male]:C(age_binary)[old],-1.5277,0.0,1.5277,device_usage
time_at_home_s14:C(sex)[Male]:C(age_binary)[old],-1.4952,0.0,1.4952,sociability
ec_PedometerData_m7:C(sex)[Male]:C(age_binary)[old],-1.4429,0.001,1.4429,activity
time_at_home_s7:C(sex)[Male]:C(age_binary)[old],-1.4261,0.0,1.4261,sociability
ec_DeviceDisplayStatus_m14:C(sex)[Male]:C(age_binary)[old],-1.3942,0.0,1.3942,device_usage
ec_Location_m7:C(sex)[Male]:C(age_binary)[old],-1.3693,0.0,1.3693,sociability
loc_entropy_s14:C(sex)[Male]:C(age_binary)[old],-1.351,0.001,1.351,sociability
num_location_clusters_s7:C(sex)[Male]:C(age_binary)[old],-1.3468,0.001,1.3468,sociability
display_events_m7:C(sex)[Male]:C(age_binary)[old],-1.3436,0.0,1.3436,device_usage
ec_PedometerData_s14:C(sex)[Male]:C(age_binary)[old],-1.307,0.004,1.307,activity
ec_Location_m14:C(sex)[Male]:C(age_binary)[old],-1.299,0.0,1.299,sociability
step_count_m14:C(sex)[Male]:C(age_binary)[old],-1.2947,0.0,1.2947,activity
active_time_m14:C(sex)[Male]:C(age_binary)[old],-1.2928,0.0,1.2928,activity
activity_percent_m14:C(sex)[Male]:C(age_binary)[old],-1.2928,0.0,1.2928,activity
ec_Location_s14:C(sex)[Male]:C(age_binary)[old],-1.2594,0.001,1.2594,sociability
