feature,coefficient,p_value,abs_coefficient
Intercept,22.2506,0.0,22.2506
Intercept,22.0277,0.0,22.0277
Intercept,13.4048,0.0,13.4048
Intercept,13.3054,0.0,13.3054
Intercept,12.7491,0.0,12.7491
Intercept,12.7344,0.0,12.7344
Intercept,12.6709,0.0,12.6709
Intercept,12.6315,0.0,12.6315
Intercept,12.448,0.0,12.448
Intercept,12.4374,0.0,12.4374
Intercept,12.2683,0.0,12.2683
Intercept,11.9741,0.0,11.9741
Intercept,11.1406,0.0,11.1406
Intercept,11.1381,0.0,11.1381
Intercept,10.9051,0.0,10.9051
Intercept,10.6157,0.0,10.6157
Intercept,10.5212,0.0,10.5212
Intercept,9.8106,0.0,9.8106
Intercept,9.6087,0.0,9.6087
Intercept,9.5677,0.0,9.5677
Intercept,9.4504,0.0,9.4504
Intercept,8.7821,0.003,8.7821
Intercept,8.3774,0.0,8.3774
Intercept,6.7092,0.004,6.7092
sleep_interruptions_m7:C(sex)[Male]:C(age_binary)[old],-2.1807,0.021,2.1807
sleep_interruptions_s7:C(sex)[Male]:C(age_binary)[old],-2.107,0.014,2.107
sleep_end_s14:C(sex)[Female]:C(age_binary)[young],1.2404,0.0,1.2404
sleep_end_s14:C(sex)[Female]:C(age_binary)[old],1.1913,0.001,1.1913
sleep_end_s7:C(sex)[Female]:C(age_binary)[old],1.1564,0.0,1.1564
sleep_duration_s14:C(sex)[Female]:C(age_binary)[young],1.1529,0.0,1.1529
sleep_end_s7:C(sex)[Female]:C(age_binary)[young],1.1271,0.0,1.1271
sleep_routine_index_m7:C(sex)[Male]:C(age_binary)[old],-1.0024,0.0,1.0024
sleep_duration_s7:C(sex)[Female]:C(age_binary)[young],0.9794,0.0,0.9794
chronotype_score_m14:C(sex)[Female]:C(age_binary)[young],0.974,0.0,0.974
chronotype_score_m7:C(sex)[Female]:C(age_binary)[young],0.9553,0.0,0.9553
sleep_duration_s7:C(sex)[Female]:C(age_binary)[old],0.9459,0.0,0.9459
sleep_routine_index_m7:C(sex)[Male]:C(age_binary)[young],-0.9416,0.0,0.9416
sleep_duration_s14:C(sex)[Female]:C(age_binary)[old],0.9129,0.003,0.9129
sleep_routine_index_m14:C(sex)[Male]:C(age_binary)[old],-0.8905,0.0,0.8905
sleep_start_s7:C(sex)[Female]:C(age_binary)[old],0.8842,0.001,0.8842
sleep_routine_index_m14:C(sex)[Male]:C(age_binary)[young],-0.8652,0.0,0.8652
sleep_start_s7:C(sex)[Female]:C(age_binary)[young],0.8441,0.0,0.8441
sleep_routine_index_m7:C(sex)[Female]:C(age_binary)[old],-0.8391,0.0,0.8391
chronotype_score_s14:C(sex)[Male]:C(age_binary)[old],-0.8244,0.012,0.8244
chronotype_score_s7:C(sex)[Male]:C(age_binary)[young],-0.8183,0.007,0.8183
sleep_start_s14:C(sex)[Female]:C(age_binary)[young],0.8178,0.003,0.8178
chronotype_score_m14:C(sex)[Female]:C(age_binary)[old],0.8146,0.0,0.8146
chronotype_score_m7:C(sex)[Female]:C(age_binary)[old],0.8038,0.0,0.8038
sleep_routine_index_s14:C(sex)[Female]:C(age_binary)[young],0.8003,0.0,0.8003
sleep_start_m14:C(sex)[Female]:C(age_binary)[young],0.7839,0.003,0.7839
sleep_routine_index_m7:C(sex)[Female]:C(age_binary)[young],-0.7827,0.0,0.7827
sleep_routine_index_m14:C(sex)[Female]:C(age_binary)[old],-0.7726,0.0,0.7726
sleep_routine_index_s7:C(sex)[Female]:C(age_binary)[young],0.7717,0.0,0.7717
chronotype_score_s7:C(sex)[Female]:C(age_binary)[young],0.7708,0.0,0.7708
sleep_start_m14:C(sex)[Female]:C(age_binary)[old],0.7311,0.01,0.7311
sleep_routine_index_m14:C(sex)[Female]:C(age_binary)[young],-0.7178,0.0,0.7178
sleep_start_m7:C(sex)[Female]:C(age_binary)[old],0.665,0.003,0.665
sleep_start_m7:C(sex)[Female]:C(age_binary)[young],0.6639,0.002,0.6639
sleep_start_s14:C(sex)[Female]:C(age_binary)[old],0.6598,0.032,0.6598
chronotype_score_s14:C(sex)[Male]:C(age_binary)[young],-0.6192,0.027,0.6192
chronotype_score_s14:C(sex)[Female]:C(age_binary)[young],0.5804,0.001,0.5804
sleep_duration_m7:C(sex)[Male]:C(age_binary)[old],-0.5598,0.04,0.5598
chronotype_score_m14:C(sex)[Male]:C(age_binary)[young],0.4711,0.008,0.4711
chronotype_score_m7:C(sex)[Male]:C(age_binary)[young],0.4172,0.012,0.4172
chronotype_score_m14:C(sex)[Male]:C(age_binary)[old],0.3761,0.048,0.3761
chronotype_score_m7:C(sex)[Male]:C(age_binary)[old],0.3514,0.045,0.3514
