feature,coefficient,p_value,abs_coefficient
travel_diameter_m7:C(sex)[Male]:C(age_binary)[old],-35.744,0.007,35.744
Intercept,13.8995,0.0,13.8995
travel_diameter_s7:C(sex)[Male]:C(age_binary)[old],-13.7756,0.006,13.7756
Intercept,13.4718,0.0,13.4718
Intercept,13.4508,0.0,13.4508
Intercept,13.415,0.0,13.415
Intercept,13.4091,0.0,13.4091
Intercept,13.3994,0.0,13.3994
Intercept,13.3885,0.0,13.3885
Intercept,13.3784,0.0,13.3784
Intercept,13.3295,0.0,13.3295
Intercept,13.3117,0.0,13.3117
Intercept,13.3026,0.0,13.3026
Intercept,13.2998,0.0,13.2998
Intercept,13.2815,0.0,13.2815
Intercept,13.2679,0.0,13.2679
Intercept,13.2677,0.0,13.2677
Intercept,13.2553,0.0,13.2553
Intercept,13.2529,0.0,13.2529
Intercept,13.2318,0.0,13.2318
Intercept,13.2036,0.0,13.2036
Intercept,13.2023,0.0,13.2023
Intercept,13.1937,0.0,13.1937
Intercept,13.1732,0.0,13.1732
Intercept,13.1563,0.0,13.1563
Intercept,13.1313,0.0,13.1313
Intercept,13.1304,0.0,13.1304
Intercept,13.1265,0.0,13.1265
Intercept,13.1045,0.0,13.1045
Intercept,13.0339,0.0,13.0339
Intercept,13.0319,0.0,13.0319
Intercept,13.0313,0.0,13.0313
Intercept,13.0224,0.0,13.0224
Intercept,12.9131,0.0,12.9131
Intercept,12.9068,0.0,12.9068
Intercept,12.8989,0.0,12.8989
Intercept,12.8026,0.0,12.8026
Intercept,12.7958,0.0,12.7958
Intercept,12.7833,0.0,12.7833
Intercept,12.7558,0.0,12.7558
Intercept,12.6164,0.0,12.6164
Intercept,12.3741,0.0,12.3741
Intercept,11.9987,0.0,11.9987
Intercept,11.9436,0.0,11.9436
Intercept,11.8642,0.0,11.8642
Intercept,11.4696,0.0,11.4696
travel_diameter_m14:C(sex)[Female]:C(age_binary)[old],-9.5064,0.037,9.5064
travel_diameter_m7:C(sex)[Female]:C(age_binary)[old],-7.5472,0.021,7.5472
travel_diameter_s14:C(sex)[Female]:C(age_binary)[old],-2.4387,0.038,2.4387
travel_diameter_s7:C(sex)[Female]:C(age_binary)[old],-2.1397,0.019,2.1397
time_at_home_s14:C(sex)[Male]:C(age_binary)[old],-1.4952,0.0,1.4952
time_at_home_s7:C(sex)[Male]:C(age_binary)[old],-1.4261,0.0,1.4261
ec_Location_m7:C(sex)[Male]:C(age_binary)[old],-1.3693,0.0,1.3693
loc_entropy_s14:C(sex)[Male]:C(age_binary)[old],-1.351,0.001,1.351
num_location_clusters_s7:C(sex)[Male]:C(age_binary)[old],-1.3468,0.001,1.3468
ec_Location_m14:C(sex)[Male]:C(age_binary)[old],-1.299,0.0,1.299
ec_Location_s14:C(sex)[Male]:C(age_binary)[old],-1.2594,0.001,1.2594
time_at_location_2_m14:C(sex)[Male]:C(age_binary)[old],-1.2123,0.006,1.2123
ec_Location_s7:C(sex)[Male]:C(age_binary)[old],-1.1643,0.002,1.1643
loc_entropy_m14:C(sex)[Male]:C(age_binary)[old],-1.0646,0.002,1.0646
time_at_location_2_m7:C(sex)[Male]:C(age_binary)[old],-1.0581,0.016,1.0581
time_at_location_2_s7:C(sex)[Male]:C(age_binary)[old],-1.0454,0.023,1.0454
loc_entropy_s7:C(sex)[Male]:C(age_binary)[old],-1.0451,0.002,1.0451
num_location_clusters_m14:C(sex)[Male]:C(age_binary)[old],-1.0369,0.002,1.0369
total_location_duration_s7:C(sex)[Male]:C(age_binary)[old],-1.0262,0.033,1.0262
loc_entropy_m7:C(sex)[Male]:C(age_binary)[old],-1.011,0.004,1.011
total_location_duration_s14:C(sex)[Male]:C(age_binary)[young],-0.974,0.002,0.974
time_at_location_2_m14:C(sex)[Male]:C(age_binary)[young],-0.9482,0.001,0.9482
num_location_clusters_m7:C(sex)[Male]:C(age_binary)[old],-0.9432,0.005,0.9432
time_at_location_4_m14:C(sex)[Male]:C(age_binary)[young],-0.9363,0.006,0.9363
time_at_location_2_s14:C(sex)[Male]:C(age_binary)[young],-0.9287,0.004,0.9287
travel_diameter_s14:C(sex)[Male]:C(age_binary)[young],-0.9218,0.0,0.9218
time_at_home_m14:C(sex)[Female]:C(age_binary)[young],0.9207,0.0,0.9207
time_at_location_4_s7:C(sex)[Male]:C(age_binary)[young],-0.901,0.012,0.901
num_location_clusters_s7:C(sex)[Female]:C(age_binary)[old],-0.8806,0.0,0.8806
time_at_location_2_m7:C(sex)[Male]:C(age_binary)[young],-0.8537,0.003,0.8537
