time_at_home_m7,sex,age_binary
48708.74247930804,Female,old
71329.41057042856,Female,young
43454.79177400946,Female,young
77330.04799899999,Female,old
76669.08157042856,Female,young
78018.48919243024,Male,young
44022.479570999996,Female,young
86399.99999969514,Female,young
86399.999999,Male,young
70814.18685614286,Female,young
78958.57371342857,Female,young
71706.40142771429,Male,young
73766.19328471429,Male,young
75239.87885614287,Male,old
68885.76942771429,Female,young
79110.64471328571,Female,old
16416.978519831173,Female,young
22291.242714000004,Female,old
39277.147298834825,Male,young
53793.08130900967,Female,old
48284.92314228571,Female,young
81556.84442757143,Female,old
0.0,Female,old
60091.288142,Female,young
84021.34557042857,Female,old
86400.00002200001,Female,young
40406.85655265321,Female,young
77391.24328471429,Male,old
78030.48671328572,Female,young
45561.715948160985,Male,young
75927.54642757143,Female,young
13871.880428428572,Female,young
69254.03814185715,Female,young
85616.1765724218,Female,young
35572.5883769997,Female,young
80755.79671328572,Female,young
37685.05670786785,Female,old
80025.05185614285,Female,young
4726.303415576229,Female,old
57442.760856285706,Male,young
74114.70057057144,Female,young
81054.50757057143,Female,young
70966.07999928572,Male,young
30632.30499957143,Male,old
75100.9008562857,Female,old
71538.72042757143,Female,old
37462.62614242857,Female,young
40677.82452012268,Female,young
83219.25464727628,Female,old
0.0,Female,young
54154.472439999176,Female,old
69554.087199314,Female,old
83161.51499914286,Female,young
67.72983287061429,Female,young
78862.96742757144,Female,old
64069.99971328571,Female,young
24554.818428285715,Female,young
44456.555856142855,Female,young
75144.1382847143,Female,young
80537.6807132857,Female,young
14694.614039577971,Female,young
62190.45830592066,Female,young
76352.26499914285,Male,old
45068.482554714006,Female,young
29739.456285285713,Female,old
59592.09428471428,Female,young
59388.03714185714,Female,young
86399.999999,Male,old
80258.48583245704,Female,young
25466.958662218756,Female,young
74062.819999,Female,old
49735.61314185714,Male,old
86189.54485614286,Female,old
80727.66444301153,Female,young
55851.23771357143,Female,young
56786.022957250745,Male,young
81685.80585628572,Female,old
70688.0174111646,Female,young
57172.86188314341,Female,old
58938.89671342857,Female,young
76640.62142771427,Male,young
55598.207371287084,Female,young
48850.14865800179,Female,young
69363.63442771429,Male,old
22236.799571142856,Female,old
86399.999999,Male,young
76321.06342757144,Female,young
63549.13614228571,Female,young
48764.16228485714,Female,young
52455.267427714294,Female,young
69490.62314200001,Female,young
85814.35171328571,Female,young
69215.83585714285,Male,young
77167.44657042857,Male,young
33196.711571,Female,old
7457.999996569213,Female,old
57848.65828485715,Male,old
78020.25928471428,Female,old
14934.156713999999,Female,young
58741.39712200519,Male,young
23984.991856857145,Female,old
82978.47671328571,Female,old
50223.629477219125,Female,old
26826.040428142856,Female,old
83523.66799900001,Female,old
18652.02789290297,Female,young
65622.54242771429,Female,young
59222.015669829314,Female,young
79099.86285614288,Female,young
83605.66742757145,Female,old
82400.03571328572,Male,old
63908.30397919243,Female,old
61385.309050014184,Female,young
29014.96338614236,Female,young
63717.54621176953,Female,young
82664.53671328572,Female,old
38461.35976999394,Female,old
75035.78799900001,Female,young
62019.48442771429,Male,young
81650.20857042857,Female,young
54269.04028485715,Female,young
62865.42478441955,Female,young
78734.59285642857,Male,old
8.789714285714286,Female,young
77514.76185614287,Female,young
84703.22785614287,Female,young
46604.35628528572,Female,old
80412.29866957144,Male,old
57749.80728485714,Male,old
69595.04442771428,Female,young
77381.99199899999,Female,old
12342.857142714285,Female,young
85924.58071328572,Female,old
53922.61673755454,Female,old
64224.711284714285,Female,young
12471.3169845489,Female,old
72160.86014185715,Female,young
16382.931291009601,Male,young
64628.3347018796,Female,old
63714.37085614286,Female,old
32128.731785128915,Female,young
81284.1872847143,Male,young
53677.99781115145,Female,old
65058.00080402582,Male,young
85906.887999,Female,old
83085.668999,Female,young
71230.65128471427,Female,young
81768.932999,Female,young
18248.846199876058,Female,old
44060.414856428564,Female,young
81070.05271328571,Female,old
83030.79071328572,Female,old
71936.24428471428,Female,young
51789.15671371429,Female,young
69653.32842771428,Female,old
86357.14242757144,Female,old
64686.28257057142,Female,old
48133.50687771073,Female,young
25992.227991713702,Female,young
38682.35296156041,Female,young
15986.230245282457,Female,young
56.83565843105714,Female,young
80099.38999899999,Male,old
410.5708360842286,Female,young
73109.44957057144,Male,young
64661.23671328572,Female,young
80776.02314185715,Female,young
58096.18136261487,Female,young
41636.62314242857,Female,young
52370.83781424625,Female,old
34591.76242814285,Female,young
57383.185390668354,Male,young
28785.18399957143,Female,young
72138.32771328572,Female,old
57964.51214200001,Female,young
68602.31715559772,Male,old
64319.21385642856,Female,young
33585.292460780955,Female,old
62157.25442785714,Male,old
26644.660999857144,Female,young
73080.05928471428,Female,young
83485.89042757144,Female,old
85844.16599899999,Female,young
75023.1638057355,Female,young
53332.47832985156,Female,young
36078.7500663466,Female,young
76760.07542757143,Female,young
31802.710999714287,Female,young
76001.78271328572,Female,old
64201.70728485715,Female,young
52670.55028485715,Female,old
30540.445285285718,Male,young
42417.01772457134,Female,old
59557.82564831213,Female,young
51758.832285,Female,young
86400.00006987965,Female,young
41220.181570857145,Male,young
21565.728856857142,Male,young
58922.48771357142,Female,old
75979.38071328572,Female,old
1.0561427142857143,Male,young
75042.94885628573,Female,old
16638.797571142855,Female,young
62952.798427571426,Female,old
72069.28085614285,Female,young
86264.062999,Female,old
59990.70699942857,Female,old
61376.37757057143,Female,old
68278.16299900001,Male,young
68088.32371342857,Female,old
518.4452855714286,Female,young
47502.036697393756,Male,young
14859.608999571428,Male,young
58959.61114242857,Female,young
51601.344142571426,Female,young
41567.14414242857,Female,old
47721.84328471428,Male,old
38536.570142,Female,young
43451.94057057142,Female,young
43451.35732324816,Female,young
57949.826427571425,Female,young
70191.67720384295,Female,young
48162.46858153101,Female,young
78871.4268562857,Male,young
68812.60157042857,Female,old
75660.452999,Female,young
60378.91428485714,Male,old
69496.60071357143,Female,young
61757.6440437165,Female,old
44325.957069104756,Female,old
78533.92557042858,Female,young
0.0,Female,old
70964.94371328571,Female,young
57391.15985614286,Female,old
35096.67429542857,Male,young
50226.29171328571,Female,young
86399.999999,Female,old
76097.60399900001,Female,old
41448.93613095294,Male,young
62522.26471342857,Male,old
43009.07089200587,Female,young
76507.54928471427,Female,old
0.0,Female,old
6562.084428428571,Male,young
67282.98671328572,Female,young
79332.11742757143,Male,young
51688.62171328572,Female,young
38310.121761481045,Female,young
79655.38085614286,Female,old
75722.66271328572,Female,young
72040.04885628572,Female,old
61602.040999428566,Female,young
62940.088285142854,Female,young
45720.894375137425,Female,old
17561.756714285715,Male,young
86399.999999,Female,young
0.0,Male,young
81216.38257042857,Female,old
61694.02642757143,Female,young
59146.24571342858,Female,young
80040.91042757142,Female,old
64447.11942757143,Female,young
93377.61663563976,Female,old
85581.28485614285,Male,old
82354.29414185714,Female,old
72883.91571342856,Female,old
83216.83314185715,Male,young
112494.86889613203,Male,young
68461.38342757142,Female,old
82910.90528471429,Male,young
25612.790899544372,Female,young
85676.88699914285,Female,old
14490.586879822904,Female,young
5599.7749998571435,Female,young
80670.42557042858,Female,old
64759.818284857145,Male,young
12342.857142714287,Female,young
65421.83971342858,Female,young
0.0,Female,old
82653.53785614285,Male,old
85087.28014185715,Female,young
19977.634355575803,Female,young
80977.62171328571,Male,old
