feature,coefficient,p_value,r_squared,adj_r_squared,bucket
time_at_home_m14:C(sex)[Female]:C(age_binary)[old],0.5099,0.001,0.029,0.027,sociability
time_at_home_m14:C(sex)[Male]:C(age_binary)[young],0.4858,0.022,0.029,0.027,sociability
time_at_home_m14:C(sex)[Female]:C(age_binary)[young],0.9207,0.0,0.029,0.027,sociability
walking_rate_s14:C(sex)[Male]:C(age_binary)[young],-1.0475,0.0,0.027,0.024,activity
walking_rate_s14:C(sex)[Male]:C(age_binary)[old],-0.9088,0.001,0.027,0.024,activity
time_at_home_m7:C(sex)[Female]:C(age_binary)[young],0.8005,0.0,0.023,0.021,sociability
time_at_home_m7:C(sex)[Female]:C(age_binary)[old],0.4005,0.005,0.023,0.021,sociability
walking_rate_s7:C(sex)[Male]:C(age_binary)[young],-1.0692,0.0,0.022,0.02,activity
activity_percent_s14:C(sex)[Male]:C(age_binary)[young],-0.6893,0.001,0.022,0.019,activity
active_time_s14:C(sex)[Male]:C(age_binary)[young],-0.6893,0.001,0.022,0.019,activity
walking_rate_s7:C(sex)[Male]:C(age_binary)[old],-0.8633,0.004,0.022,0.02,activity
active_time_s14:C(sex)[Male]:C(age_binary)[old],-0.9242,0.004,0.022,0.019,activity
activity_percent_s14:C(sex)[Male]:C(age_binary)[old],-0.9242,0.004,0.022,0.019,activity
active_time_s14:C(sex)[Female]:C(age_binary)[young],0.3919,0.017,0.022,0.019,activity
activity_percent_s14:C(sex)[Female]:C(age_binary)[young],0.3919,0.017,0.022,0.019,activity
activity_percent_m14:C(sex)[Female]:C(age_binary)[young],0.4803,0.004,0.021,0.019,activity
active_time_m14:C(sex)[Female]:C(age_binary)[young],0.4803,0.004,0.021,0.019,activity
walking_rate_m14:C(sex)[Male]:C(age_binary)[young],-0.4167,0.016,0.021,0.018,activity
activity_percent_m14:C(sex)[Male]:C(age_binary)[old],-1.2928,0.0,0.021,0.019,activity
active_time_m14:C(sex)[Male]:C(age_binary)[old],-1.2928,0.0,0.021,0.019,activity
walking_rate_m14:C(sex)[Male]:C(age_binary)[old],-0.8038,0.001,0.021,0.018,activity
step_count_m14:C(sex)[Male]:C(age_binary)[old],-1.2947,0.0,0.02,0.018,activity
step_count_m14:C(sex)[Female]:C(age_binary)[young],0.5407,0.002,0.02,0.018,activity
travel_diameter_s14:C(sex)[Male]:C(age_binary)[young],-0.9218,0.0,0.02,0.017,sociability
travel_diameter_s14:C(sex)[Female]:C(age_binary)[old],-2.4387,0.038,0.02,0.017,sociability
